pick_number,round,team,cap_space_2026,dead_money,new_hc_flag,hc_name,hc_coaching_tree,gm_name,trade_up_rate,trade_down_rate,gm_data_reliable,need_1,need_2,need_3,fa_addressed_positions,need_eliminated_flag,trade_risk_flag,elevated_trade_flag,future_firsts_owned,pick_range_trade_rate,gm_small_sample_flag,draft_capital_volume,capital_abundance_flag,wins,losses,ties,win_pct,bpa_weight,need_weight,qb_name,qb_years_remaining,qb_urgency
15,1,TB,,,0,,,Jason Licht,0.55,0.45,1,,,,,0,0.5,0,2,0.3,0,7,0.5,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Baker Mayfield,2,1.0
16,1,NYJ,,,0,,,Darren Mougey,0.5,0.5,0,,,,,0,0.5,0,4,0.3,1,9,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Geno Smith,2,1.0
17,1,DET,,,0,,,Brad Holmes,0.6,0.4,1,,,,,0,0.5,0,2,0.3,0,9,1.0,9.0,8.0,0.0,0.5294117647058824,0.5,0.5,Jared Goff,4,0.0
18,1,MIN,,,0,,,Kwesi Adofo-Mensah,0.4,0.6,1,,,,,0,0.5,0,2,0.3,0,9,1.0,9.0,8.0,0.0,0.5294117647058824,0.5,0.5,J.J. McCarthy,3,1.0
19,1,CAR,,,0,,,Dan Morgan,0.5,0.5,1,,,,,0,0.5,0,2,0.3,0,7,0.5,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Bryce Young,3,1.0
20,1,DAL,,,0,,,Jerry Jones,0.7,0.3,1,,,,,0,0.5,1,2,0.3,0,8,1.0,7.0,9.0,1.0,0.4411764705882353,0.5,0.5,Dak Prescott,4,0.0
21,1,PIT,,,0,,,Omar Khan,0.5,0.5,1,,,,,0,0.5,0,2,0.3,0,12,1.0,10.0,7.0,0.0,0.5882352941176471,0.3,0.7,Mason Rudolph,2,1.0
22,1,LAC,,,0,,,Joe Hortiz,0.1,0.9,1,,,,,0,0.5,0,2,0.3,0,5,0.0,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Justin Herbert,5,0.0
23,1,PHI,,,0,,,Howie Roseman,0.7,0.3,1,,,,,0,1.0,0,2,0.46,0,8,1.0,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Jalen Hurts,4,0.0
24,1,CLE,,,1,Monken,Stefanski,Andrew Berry,0.5,0.5,1,,,,,0,1.0,0,3,0.46,0,9,1.0,5.0,12.0,0.0,0.2941176470588235,0.7,0.3,Deshaun Watson,2,0.0
25,1,CHI,,,0,,,Ryan Poles,0.5,0.5,1,,,,,0,1.0,0,3,0.46,0,7,0.5,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Caleb Williams,3,1.0
26,1,BUF,,,1,Brady,Bills,Brandon Beane,0.6,0.4,1,,,,,0,1.0,0,1,0.46,0,7,0.5,12.0,5.0,0.0,0.7058823529411765,0.3,0.7,Josh Allen,6,0.0
27,1,SF,,,0,,,John Lynch,0.6,0.4,1,,,,,0,1.0,0,2,0.46,0,6,0.5,12.0,5.0,0.0,0.7058823529411765,0.3,0.7,Brock Purdy,6,0.0
28,1,HOU,,,0,,,Nick Caserio,0.6,0.4,1,,,,,0,1.0,0,3,0.46,0,8,1.0,12.0,5.0,0.0,0.7058823529411765,0.3,0.7,C.J. Stroud,3,1.0
29,1,KC,,,0,,,Brett Veach,0.75,0.4,1,,,,,0,1.0,0,3,0.46,0,9,1.0,6.0,11.0,0.0,0.3529411764705882,0.7,0.3,Patrick Mahomes,7,0.0
30,1,MIA,,,1,Hafley,defensive-specialist,Jon-Eric Sullivan,0.5,0.5,0,,,,,0,1.0,0,3,0.46,1,11,1.0,7.0,10.0,0.0,0.4117647058823529,0.5,0.5,Malik Willis,4,1.0
31,1,NE,,,0,,,Eliot Wolf,0.5,0.5,0,,,,,0,1.0,0,2,0.46,1,11,1.0,14.0,3.0,0.0,0.8235294117647058,0.3,0.7,Drake Maye,3,1.0
32,1,SEA,,,0,,,John Schneider,0.35,0.65,1,,,,,0,1.0,0,2,0.46,0,4,0.0,14.0,3.0,0.0,0.8235294117647058,0.3,0.7,Sam Darnold,3,1.0
33,2,NYJ,,,0,,,Darren Mougey,0.5,0.5,0,,,,,0,1.0,0,4,0.25,1,9,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Geno Smith,2,1.0
34,2,ARI,,,1,LaFleur,McVay-Shanahan,Monti Ossenfort,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,7,0.5,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Jacoby Brissett,2,1.0
35,2,TEN,,,0,,,Mike Borgonzi,0.5,0.5,0,,,,,0,1.0,0,2,0.25,1,9,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Cam Ward,4,1.0
36,2,LV,,,1,Kubiak,Shanahan,John Spytek,0.5,0.5,0,,,,,0,1.0,0,2,0.25,1,10,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Aidan O'Connell,2,1.0
37,2,NYG,,,1,Harbaugh,Michigan-Harbaugh,Joe Schoen,0.6,0.4,1,,,,,0,1.0,0,2,0.25,0,7,0.5,4.0,13.0,0.0,0.2352941176470588,0.7,0.3,Jaxson Dart,4,1.0
38,2,HOU,,,0,,,Nick Caserio,0.6,0.4,1,,,,,0,1.0,0,3,0.25,0,8,1.0,12.0,5.0,0.0,0.7058823529411765,0.3,0.7,C.J. Stroud,3,1.0
39,2,CLE,,,1,Monken,Stefanski,Andrew Berry,0.5,0.5,1,,,,,0,1.0,0,3,0.25,0,9,1.0,5.0,12.0,0.0,0.2941176470588235,0.7,0.3,Deshaun Watson,2,0.0
40,2,KC,,,0,,,Brett Veach,0.75,0.4,1,,,,,0,1.0,0,3,0.25,0,9,1.0,6.0,11.0,0.0,0.3529411764705882,0.7,0.3,Patrick Mahomes,7,0.0
41,2,CIN,,,0,,,Duke Tobin,0.1,0.9,1,,,,,0,1.0,0,2,0.25,0,8,1.0,6.0,11.0,0.0,0.3529411764705882,0.7,0.3,Joe Burrow,5,0.0
42,2,NO,,,0,,,Mickey Loomis,1.0,0.0,1,,,,,0,1.0,0,2,0.25,0,8,1.0,6.0,11.0,0.0,0.3529411764705882,0.7,0.3,Tyler Shough,4,1.0
43,2,MIA,,,1,Hafley,defensive-specialist,Jon-Eric Sullivan,0.5,0.5,0,,,,,0,1.0,0,3,0.25,1,11,1.0,7.0,10.0,0.0,0.4117647058823529,0.5,0.5,Malik Willis,4,1.0
44,2,NYJ,,,0,,,Darren Mougey,0.5,0.5,0,,,,,0,1.0,0,4,0.25,1,9,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Geno Smith,2,1.0
45,2,BAL,,,1,Minter,Harbaugh-def,Eric DeCosta,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,11,1.0,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Lamar Jackson,3,0.0
46,2,TB,,,0,,,Jason Licht,0.55,0.45,1,,,,,0,1.0,0,2,0.25,0,7,0.5,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Baker Mayfield,2,1.0
47,2,IND,,,0,,,Chris Ballard,0.25,0.75,1,,,,,0,1.0,0,1,0.25,0,7,0.5,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Daniel Jones,3,0.0
48,2,ATL,,,0,,,Terry Fontenot,0.5,0.5,1,,,,,0,1.0,0,1,0.25,0,5,0.0,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Michael Penix Jr.,3,1.0
49,2,MIN,,,0,,,Kwesi Adofo-Mensah,0.4,0.6,1,,,,,0,1.0,0,2,0.25,0,9,1.0,9.0,8.0,0.0,0.5294117647058824,0.5,0.5,J.J. McCarthy,3,1.0
50,2,DET,,,0,,,Brad Holmes,0.6,0.4,1,,,,,0,1.0,0,2,0.25,0,9,1.0,9.0,8.0,0.0,0.5294117647058824,0.5,0.5,Jared Goff,4,0.0
51,2,CAR,,,0,,,Dan Morgan,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,7,0.5,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Bryce Young,3,1.0
52,2,GB,,,0,,,Brian Gutekunst,0.5,0.5,1,,,,,0,1.0,0,1,0.25,0,8,1.0,9.0,7.0,1.0,0.5588235294117647,0.5,0.5,Jordan Love,4,0.0
53,2,PIT,,,0,,,Omar Khan,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,12,1.0,10.0,7.0,0.0,0.5882352941176471,0.3,0.7,Mason Rudolph,2,1.0
54,2,PHI,,,0,,,Howie Roseman,0.7,0.3,1,,,,,0,1.0,0,2,0.25,0,8,1.0,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Jalen Hurts,4,0.0
55,2,LAC,,,0,,,Joe Hortiz,0.1,0.9,1,,,,,0,1.0,0,2,0.25,0,5,0.0,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Justin Herbert,5,0.0
56,2,JAX,,,0,,,James Gladstone,0.5,0.5,0,,,,,0,1.0,0,1,0.25,1,11,1.0,13.0,4.0,0.0,0.7647058823529411,0.3,0.7,Trevor Lawrence,6,0.0
57,2,CHI,,,0,,,Ryan Poles,0.5,0.5,1,,,,,0,1.0,0,3,0.25,0,7,0.5,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Caleb Williams,3,1.0
58,2,SF,,,0,,,John Lynch,0.6,0.4,1,,,,,0,1.0,0,2,0.25,0,6,0.5,12.0,5.0,0.0,0.7058823529411765,0.3,0.7,Brock Purdy,6,0.0
59,2,HOU,,,0,,,Nick Caserio,0.6,0.4,1,,,,,0,1.0,0,3,0.25,0,8,1.0,12.0,5.0,0.0,0.7058823529411765,0.3,0.7,C.J. Stroud,3,1.0
60,2,CHI,,,0,,,Ryan Poles,0.5,0.5,1,,,,,0,1.0,0,3,0.25,0,7,0.5,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Caleb Williams,3,1.0
61,2,LAR,,,0,,,Les Snead,0.11,0.89,1,,,,,0,1.0,0,2,0.25,0,7,0.5,,,,,0.5,0.5,Matt Stafford,2,0.0
62,2,DEN,,,0,,,George Paton,0.5,0.5,1,,,,,0,1.0,0,1,0.25,0,7,0.5,14.0,3.0,0.0,0.8235294117647058,0.3,0.7,Jarrett Stidham,2,1.0
63,2,NE,,,0,,,Eliot Wolf,0.5,0.5,0,,,,,0,1.0,0,2,0.25,1,11,1.0,14.0,3.0,0.0,0.8235294117647058,0.3,0.7,Drake Maye,3,1.0
64,2,SEA,,,0,,,John Schneider,0.35,0.65,1,,,,,0,1.0,0,2,0.25,0,4,0.0,14.0,3.0,0.0,0.8235294117647058,0.3,0.7,Sam Darnold,3,1.0
65,3,ARI,,,1,LaFleur,McVay-Shanahan,Monti Ossenfort,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,7,0.5,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Jacoby Brissett,2,1.0
66,3,TEN,,,0,,,Mike Borgonzi,0.5,0.5,0,,,,,0,1.0,0,2,0.25,1,9,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Cam Ward,4,1.0
67,3,LV,,,1,Kubiak,Shanahan,John Spytek,0.5,0.5,0,,,,,0,1.0,0,2,0.25,1,10,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Aidan O'Connell,2,1.0
68,3,PHI,,,0,,,Howie Roseman,0.7,0.3,1,,,,,0,1.0,0,2,0.25,0,8,1.0,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Jalen Hurts,4,0.0
69,3,HOU,,,0,,,Nick Caserio,0.6,0.4,1,,,,,0,1.0,0,3,0.25,0,8,1.0,12.0,5.0,0.0,0.7058823529411765,0.3,0.7,C.J. Stroud,3,1.0
70,3,CLE,,,1,Monken,Stefanski,Andrew Berry,0.5,0.5,1,,,,,0,1.0,0,3,0.25,0,9,1.0,5.0,12.0,0.0,0.2941176470588235,0.7,0.3,Deshaun Watson,2,0.0
71,3,WAS,,,0,,,Adam Peters,0.5,0.5,1,,,,,0,1.0,0,1,0.25,0,6,0.5,5.0,12.0,0.0,0.2941176470588235,0.7,0.3,Jayden Daniels,3,1.0
72,3,CIN,,,0,,,Duke Tobin,0.1,0.9,1,,,,,0,1.0,0,2,0.25,0,8,1.0,6.0,11.0,0.0,0.3529411764705882,0.7,0.3,Joe Burrow,5,0.0
73,3,NO,,,0,,,Mickey Loomis,1.0,0.0,1,,,,,0,1.0,0,2,0.25,0,8,1.0,6.0,11.0,0.0,0.3529411764705882,0.7,0.3,Tyler Shough,4,1.0
74,3,KC,,,0,,,Brett Veach,0.75,0.4,1,,,,,0,1.0,0,3,0.25,0,9,1.0,6.0,11.0,0.0,0.3529411764705882,0.7,0.3,Patrick Mahomes,7,0.0
75,3,MIA,,,1,Hafley,defensive-specialist,Jon-Eric Sullivan,0.5,0.5,0,,,,,0,1.0,0,3,0.25,1,11,1.0,7.0,10.0,0.0,0.4117647058823529,0.5,0.5,Malik Willis,4,1.0
76,3,PIT,,,0,,,Omar Khan,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,12,1.0,10.0,7.0,0.0,0.5882352941176471,0.3,0.7,Mason Rudolph,2,1.0
77,3,TB,,,0,,,Jason Licht,0.55,0.45,1,,,,,0,1.0,0,2,0.25,0,7,0.5,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Baker Mayfield,2,1.0
78,3,IND,,,0,,,Chris Ballard,0.25,0.75,1,,,,,0,1.0,0,1,0.25,0,7,0.5,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Daniel Jones,3,0.0
79,3,ATL,,,0,,,Terry Fontenot,0.5,0.5,1,,,,,0,1.0,0,1,0.25,0,5,0.0,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Michael Penix Jr.,3,1.0
80,3,BAL,,,1,Minter,Harbaugh-def,Eric DeCosta,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,11,1.0,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Lamar Jackson,3,0.0
81,3,JAX,,,0,,,James Gladstone,0.5,0.5,0,,,,,0,1.0,0,1,0.25,1,11,1.0,13.0,4.0,0.0,0.7647058823529411,0.3,0.7,Trevor Lawrence,6,0.0
82,3,MIN,,,0,,,Kwesi Adofo-Mensah,0.4,0.6,1,,,,,0,1.0,0,2,0.25,0,9,1.0,9.0,8.0,0.0,0.5294117647058824,0.5,0.5,J.J. McCarthy,3,1.0
83,3,CAR,,,0,,,Dan Morgan,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,7,0.5,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Bryce Young,3,1.0
84,3,GB,,,0,,,Brian Gutekunst,0.5,0.5,1,,,,,0,1.0,0,1,0.25,0,8,1.0,9.0,7.0,1.0,0.5588235294117647,0.5,0.5,Jordan Love,4,0.0
85,3,PIT,,,0,,,Omar Khan,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,12,1.0,10.0,7.0,0.0,0.5882352941176471,0.3,0.7,Mason Rudolph,2,1.0
86,3,LAC,,,0,,,Joe Hortiz,0.1,0.9,1,,,,,0,1.0,0,2,0.25,0,5,0.0,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Justin Herbert,5,0.0
87,3,MIA,,,1,Hafley,defensive-specialist,Jon-Eric Sullivan,0.5,0.5,0,,,,,0,1.0,0,3,0.25,1,11,1.0,7.0,10.0,0.0,0.4117647058823529,0.5,0.5,Malik Willis,4,1.0
88,3,JAX,,,0,,,James Gladstone,0.5,0.5,0,,,,,0,1.0,0,1,0.25,1,11,1.0,13.0,4.0,0.0,0.7647058823529411,0.3,0.7,Trevor Lawrence,6,0.0
89,3,CHI,,,0,,,Ryan Poles,0.5,0.5,1,,,,,0,1.0,0,3,0.25,0,7,0.5,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Caleb Williams,3,1.0
90,3,MIA,,,1,Hafley,defensive-specialist,Jon-Eric Sullivan,0.5,0.5,0,,,,,0,1.0,0,3,0.25,1,11,1.0,7.0,10.0,0.0,0.4117647058823529,0.5,0.5,Malik Willis,4,1.0
91,3,BUF,,,1,Brady,Bills,Brandon Beane,0.6,0.4,1,,,,,0,1.0,0,1,0.25,0,7,0.5,12.0,5.0,0.0,0.7058823529411765,0.3,0.7,Josh Allen,6,0.0
92,3,DAL,,,0,,,Jerry Jones,0.7,0.3,1,,,,,0,1.0,0,2,0.25,0,8,1.0,7.0,9.0,1.0,0.4411764705882353,0.5,0.5,Dak Prescott,4,0.0
93,3,LAR,,,0,,,Les Snead,0.11,0.89,1,,,,,0,1.0,0,2,0.25,0,7,0.5,,,,,0.5,0.5,Matt Stafford,2,0.0
94,3,MIA,,,1,Hafley,defensive-specialist,Jon-Eric Sullivan,0.5,0.5,0,,,,,0,1.0,0,3,0.25,1,11,1.0,7.0,10.0,0.0,0.4117647058823529,0.5,0.5,Malik Willis,4,1.0
95,3,NE,,,0,,,Eliot Wolf,0.5,0.5,0,,,,,0,1.0,0,2,0.25,1,11,1.0,14.0,3.0,0.0,0.8235294117647058,0.3,0.7,Drake Maye,3,1.0
96,3,SEA,,,0,,,John Schneider,0.35,0.65,1,,,,,0,1.0,0,2,0.25,0,4,0.0,14.0,3.0,0.0,0.8235294117647058,0.3,0.7,Sam Darnold,3,1.0
97,3,MIN,,,0,,,Kwesi Adofo-Mensah,0.4,0.6,1,,,,,0,1.0,0,2,0.25,0,9,1.0,9.0,8.0,0.0,0.5294117647058824,0.5,0.5,J.J. McCarthy,3,1.0
98,3,PHI,,,0,,,Howie Roseman,0.7,0.3,1,,,,,0,1.0,0,2,0.25,0,8,1.0,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Jalen Hurts,4,0.0
99,3,PIT,,,0,,,Omar Khan,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,12,1.0,10.0,7.0,0.0,0.5882352941176471,0.3,0.7,Mason Rudolph,2,1.0
100,3,JAX,,,0,,,James Gladstone,0.5,0.5,0,,,,,0,1.0,0,1,0.25,1,11,1.0,13.0,4.0,0.0,0.7647058823529411,0.3,0.7,Trevor Lawrence,6,0.0
101,4,TEN,,,0,,,Mike Borgonzi,0.5,0.5,0,,,,,0,1.0,0,2,0.25,1,9,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Cam Ward,4,1.0
102,4,LV,,,1,Kubiak,Shanahan,John Spytek,0.5,0.5,0,,,,,0,1.0,0,2,0.25,1,10,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Aidan O'Connell,2,1.0
103,4,NYJ,,,0,,,Darren Mougey,0.5,0.5,0,,,,,0,1.0,0,4,0.25,1,9,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Geno Smith,2,1.0
104,4,ARI,,,1,LaFleur,McVay-Shanahan,Monti Ossenfort,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,7,0.5,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Jacoby Brissett,2,1.0
105,4,NYG,,,1,Harbaugh,Michigan-Harbaugh,Joe Schoen,0.6,0.4,1,,,,,0,1.0,0,2,0.25,0,7,0.5,4.0,13.0,0.0,0.2352941176470588,0.7,0.3,Jaxson Dart,4,1.0
106,4,HOU,,,0,,,Nick Caserio,0.6,0.4,1,,,,,0,1.0,0,3,0.25,0,8,1.0,12.0,5.0,0.0,0.7058823529411765,0.3,0.7,C.J. Stroud,3,1.0
107,4,CLE,,,1,Monken,Stefanski,Andrew Berry,0.5,0.5,1,,,,,0,1.0,0,3,0.25,0,9,1.0,5.0,12.0,0.0,0.2941176470588235,0.7,0.3,Deshaun Watson,2,0.0
108,4,DEN,,,0,,,George Paton,0.5,0.5,1,,,,,0,1.0,0,1,0.25,0,7,0.5,14.0,3.0,0.0,0.8235294117647058,0.3,0.7,Jarrett Stidham,2,1.0
109,4,KC,,,0,,,Brett Veach,0.75,0.4,1,,,,,0,1.0,0,3,0.25,0,9,1.0,6.0,11.0,0.0,0.3529411764705882,0.7,0.3,Patrick Mahomes,7,0.0
110,4,CIN,,,0,,,Duke Tobin,0.1,0.9,1,,,,,0,1.0,0,2,0.25,0,8,1.0,6.0,11.0,0.0,0.3529411764705882,0.7,0.3,Joe Burrow,5,0.0
111,4,DEN,,,0,,,George Paton,0.5,0.5,1,,,,,0,1.0,0,1,0.25,0,7,0.5,14.0,3.0,0.0,0.8235294117647058,0.3,0.7,Jarrett Stidham,2,1.0
112,4,DAL,,,0,,,Jerry Jones,0.7,0.3,1,,,,,0,1.0,0,2,0.25,0,8,1.0,7.0,9.0,1.0,0.4411764705882353,0.5,0.5,Dak Prescott,4,0.0
113,4,IND,,,0,,,Chris Ballard,0.25,0.75,1,,,,,0,1.0,0,1,0.25,0,7,0.5,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Daniel Jones,3,0.0
114,4,PHI,,,0,,,Howie Roseman,0.7,0.3,1,,,,,0,1.0,0,2,0.25,0,8,1.0,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Jalen Hurts,4,0.0
115,4,BAL,,,1,Minter,Harbaugh-def,Eric DeCosta,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,11,1.0,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Lamar Jackson,3,0.0
116,4,TB,,,0,,,Jason Licht,0.55,0.45,1,,,,,0,1.0,0,2,0.25,0,7,0.5,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Baker Mayfield,2,1.0
117,4,LV,,,1,Kubiak,Shanahan,John Spytek,0.5,0.5,0,,,,,0,1.0,0,2,0.25,1,10,1.0,3.0,14.0,0.0,0.1764705882352941,0.7,0.3,Aidan O'Connell,2,1.0
118,4,DET,,,0,,,Brad Holmes,0.6,0.4,1,,,,,0,1.0,0,2,0.25,0,9,1.0,9.0,8.0,0.0,0.5294117647058824,0.5,0.5,Jared Goff,4,0.0
119,4,CAR,,,0,,,Dan Morgan,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,7,0.5,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Bryce Young,3,1.0
120,4,GB,,,0,,,Brian Gutekunst,0.5,0.5,1,,,,,0,1.0,0,1,0.25,0,8,1.0,9.0,7.0,1.0,0.5588235294117647,0.5,0.5,Jordan Love,4,0.0
121,4,PIT,,,0,,,Omar Khan,0.5,0.5,1,,,,,0,1.0,0,2,0.25,0,12,1.0,10.0,7.0,0.0,0.5882352941176471,0.3,0.7,Mason Rudolph,2,1.0
122,4,ATL,,,0,,,Terry Fontenot,0.5,0.5,1,,,,,0,1.0,0,1,0.25,0,5,0.0,8.0,9.0,0.0,0.4705882352941176,0.5,0.5,Michael Penix Jr.,3,1.0
123,4,LAC,,,0,,,Joe Hortiz,0.1,0.9,1,,,,,0,1.0,0,2,0.25,0,5,0.0,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Justin Herbert,5,0.0
124,4,JAX,,,0,,,James Gladstone,0.5,0.5,0,,,,,0,1.0,0,1,0.25,1,11,1.0,13.0,4.0,0.0,0.7647058823529411,0.3,0.7,Trevor Lawrence,6,0.0
125,4,NE,,,0,,,Eliot Wolf,0.5,0.5,0,,,,,0,1.0,0,2,0.25,1,11,1.0,14.0,3.0,0.0,0.8235294117647058,0.3,0.7,Drake Maye,3,1.0
126,4,BUF,,,1,Brady,Bills,Brandon Beane,0.6,0.4,1,,,,,0,1.0,0,1,0.25,0,7,0.5,12.0,5.0,0.0,0.7058823529411765,0.3,0.7,Josh Allen,6,0.0
127,4,SF,,,0,,,John Lynch,0.6,0.4,1,,,,,0,1.0,0,2,0.25,0,6,0.5,12.0,5.0,0.0,0.7058823529411765,0.3,0.7,Brock Purdy,6,0.0
128,4,DET,,,0,,,Brad Holmes,0.6,0.4,1,,,,,0,1.0,0,2,0.25,0,9,1.0,9.0,8.0,0.0,0.5294117647058824,0.5,0.5,Jared Goff,4,0.0
129,4,CHI,,,0,,,Ryan Poles,0.5,0.5,1,,,,,0,1.0,0,3,0.25,0,7,0.5,11.0,6.0,0.0,0.6470588235294118,0.3,0.7,Caleb Williams,3,1.0
130,4,MIA,,,1,Hafley,defensive-specialist,Jon-Eric Sullivan,0.5,0.5,0,,,,,0,1.0,0,3,0.25,1,11,1.0,7.0,10.0,0.0,0.4117647058823529,0.5,0.5,Malik Willis,4,1.0
